,Normal Epochs,Apnea Epochs
FLb-O2t,0.0005532581422710823,0.0015279164760552653
FLb-O2a,0.002807485149571635,0.006939404698037293
FLb-O2s,0.003910455745917517,0.008771503165015213
FLb-O2b,0.002057564317249867,0.004764567423715275
C3d-C3t,-0.0012331882629139554,-8.683023401014639e-05
C3d-C3a,-0.004500211928720938,-0.005043125444954202
C3d-C3s,-0.0022995861783618836,-0.002890175959254453
C3d-C3b,-0.0007550403094454715,0.00014670824349701542
C3d-O1d,0.003740370499736094,0.004662726951661896
C3d-O1t,0.002745621495231657,0.003962353974870726
C3d-O1a,0.0022902541397582265,0.0041566492159960475
C3d-O1s,3.1143587007756954e-05,-0.00012264777600730072
C3d-O1b,0.0001407036796709667,0.0007351841882891313
C3d-FRd,-0.003185853900712173,-0.0026241577200838972
C3d-FRt,-0.006009090311080182,-0.007368997770471708
C3d-FRa,-0.003351079300934327,-0.004204823487119804
C3d-FRs,-0.003651743906919921,-0.005133708793173935
C3d-FRb,-0.002256453271863659,-0.003173368347616443
C3d-C4d,-0.0010586046778033064,-0.0003288278699519552
C3d-C4t,-0.006111179064304012,-0.006933708898563468
C3d-C4a,-0.003119035137469327,-0.004236967370124057
C3d-C4s,-0.002203784265361796,-0.0029652485915624394
C3d-C4b,-0.004507672931742856,-0.006438924949469642
C3d-O2d,-0.003537533831768595,-0.003943928260912726
C3d-O2t,0.0009693045519388613,0.0012769381320048422
C3d-O2a,0.0008768741891979446,0.0016469248638931633
C3d-O2s,-0.0003086088709219464,-0.0005669581928173729
C3d-O2b,4.11582349517377e-05,0.00017790545713661723
C3t-C3a,-0.001743934051835664,-0.0018130342202658041
C3t-C3s,-0.0016410026784394512,-0.00219852708734379
C3t-C3b,-0.0034276845440486827,-0.004035952871226992
C3t-O1d,-0.0019594425859809353,-0.0032725846095402527
C3t-O1t,0.003457408479746965,0.004357640693994849
C3t-O1a,-0.0004670989957569887,-0.0009105315456309479
C3t-O1s,-0.0005705682045878954,-0.0010006059564811904
C3t-O1b,-0.0019681188053092017,-0.0044235791613659505
C3t-FRd,-0.004531911749005253,-0.0051638595555118395
C3t-FRt,-0.003198604258021163,-0.0033451972983171525
C3t-FRa,-0.004667989258035872,-0.0069625961851774165
C3t-FRs,-0.0055121181666551574,-0.009071522886227687
C3t-FRb,-0.005798676152385834,-0.0102264695141378
C3t-C4d,-0.0019101010623652336,-0.0018380832696992134
C3t-C4t,-0.00492619965068101,-0.004310464661709748
C3t-C4a,-0.004877272877640984,-0.007868821302010187
C3t-C4s,-0.003926374344542058,-0.00605445586432502
C3t-C4b,-0.006272873207523266,-0.009669090550428482
C3t-O2d,-0.0014170780397037832,-0.0020961966121429264
C3t-O2t,0.0012532103192639634,0.0019373864943165668
C3t-O2a,0.0005250256185614273,0.001349589473091633
C3t-O2s,-0.0002756463469572476,-0.0006899971613184566
C3t-O2b,-0.0008938962244947777,-0.0018488237790384413
C3a-C3s,-0.001677823940476928,-0.0012620232416218377
C3a-C3b,0.00041274023429716466,0.00048625768488856305
C3a-O1d,-0.0009743059671888899,-0.0010972544189143565
C3a-O1t,-0.0004465516732968893,-0.0011149287514772188
C3a-O1a,0.0012943334773660015,0.0026460501815928567
C3a-O1s,-0.0014286258534294209,-0.002524103792257942
C3a-O1b,-0.0017854127577100966,-0.003538265918602266
C3a-FRd,-0.0042106973532338885,-0.00657113776553517
C3a-FRt,-0.002518747170039281,-0.003345264566768922
C3a-FRa,-0.00174002917614961,-0.0010076185505698827
C3a-FRs,-0.004483017761109097,-0.006771934644155787
C3a-FRb,-0.005021205203943114,-0.010359224022457876
C3a-C4d,-0.0025050408082083744,-0.0033832897809383256
C3a-C4t,-0.002489126138102204,-0.0028810906270150933
C3a-C4a,-0.0036537210671948664,-0.0037858103238519536
C3a-C4s,-0.0032080198309359835,-0.004312942914235343
C3a-C4b,-0.004016415839642267,-0.007550326602948164
C3a-O2d,-0.0023262584867532166,-0.0037832146847253203
C3a-O2t,-0.0016461342844161625,-0.0033792534626930605
C3a-O2a,-0.002801162187483031,-0.0042175007227167344
C3a-O2s,-0.0023772782598302416,-0.004319499722919901
C3a-O2b,-0.00017626844541079667,-0.00023960656444362458
C3s-C3b,0.0007626850392315039,0.0006098744672279794
C3s-O1d,-0.001741498803649321,-0.003153917072785361
C3s-O1t,0.0005223059268112059,0.000774504610629908
C3s-O1a,0.0033869282937540137,0.006110681615757183
C3s-O1s,-0.0004769488060854591,0.000894020493814415
C3s-O1b,0.001155819206841677,0.0028109128612563627
C3s-FRd,-0.002794522993535877,-0.0046529139386136936
C3s-FRt,-0.002158577365764424,-0.003275992578065794
C3s-FRa,-0.0025833351470726635,-0.0032011876355293968
C3s-FRs,-0.004605827955784719,-0.005139145368166953
